YEARS,MONTH,DEPARTURES,FLOWN HOURS,FLOWN KMS,PASSENGERS CARRIED,PASSENGERS KMS.PERFORMED,PASSENGERS AVAILABLE SEATS KMS,PASSENGERS LOAD FACTOR (%),CARGO  FREIGHT,CARGO  MAIL,CARGO  TOTAL,PAX. TON  KMS. PERFORMED,TOTAL TON  KMS. PERFORMED,AVAILABLE TON.KMS,WEIGHT LOAD FACTOR (%)
2001,4,16846,29712,17315,1417985,2101,3209,66,18373,1937,20310,187,231,375,62
2001,5,17654,31232,18213,1520055,2243,3370,67,20287,2150,22437,199,247,393,63
2001,6,17113,30464,17802,1406553,2141,3293,65,18992,2034,21026,191,235,383,61
2001,7,17592,31427,18457,1418581,2192,3426,64,18863,2084,20947,196,239,399,60
2001,8,17605,31421,18549,1399146,2179,3451,63,18968,2065,21033,196,240,404,59
2001,9,17344,30278,17945,1237803,1853,3254,57,18842,2029,20871,166,209,379,55
2001,10,17230,30217,17999,1190044,1778,3268,54,16432,2030,18462,159,197,382,52
2001,11,17250,30384,17824,1314100,1895,3140,60,21174,1966,23140,169,222,365,61
2001,12,18130,32601,19131,1509751,2234,3456,65,21312,1966,23278,200,251,402,62
2002,1,18610,33760,19458,1434394,2176,3478,63,19047,2115,21162,195,239,402,60
2002,2,17568,31565,18533,1329972,2011,3230,62,18963,1990,20953,181,225,373,60
2002,3,19391,34920,20434,1373976,2179,3584,61,22317,2149,24466,196,248,414,60
2002,4,19351,34406,20356,1354485,2081,3534,59,20295,2016,22311,184,231,406,57
2002,5,20324,36230,21251,1545327,2398,3734,64,21789,2093,23882,213,264,427,62
2002,6,19189,34395,20463,1416557,2315,3599,64,21649,1984,23633,207,256,407,63
2002,7,19349,34587,20419,1406931,2275,3615,63,21906,2066,23972,204,252,410,62
2002,8,19105,34248,20104,1484931,2357,3564,66,21428,2073,23501,210,257,409,63
2002,9,18460,32934,19737,1394614,2183,3453,63,21701,1988,23689,195,243,393,62
2002,10,19535,34708,20509,1557828,2336,3620,65,22023,2155,24178,210,262,413,63
2002,11,19641,35247,20965,1562687,2398,3685,65,21072,1962,23034,214,265,421,63
2002,12,20875,37917,22222,1770531,2763,4003,69,22096,2204,24300,245,294,458,64
2003,1,20133,37148,21706,1687787,2773,3893,71,21504,2078,23582,248,298,450,66
2003,2,19151,35010,20618,1530295,2455,3635,68,20226,1965,22191,220,269,416,65
2003,3,20669,37434,21990,1439826,2333,3904,60,22654,2387,25041,209,266,449,59
2003,4,20112,35965,21389,1403969,2240,3744,60,21638,2161,23799,200,251,427,59
2003,5,21457,38324,22498,1615903,2523,3892,65,21300,2044,23344,226,275,440,63
2003,6,21252,38422,22946,1619797,2581,3969,65,21960,1579,23539,229,279,453,62
2003,7,21738,39537,23299,1587410,2633,4082,65,23141,1704,24845,236,287,458,63
2003,8,21622,39360,23258,1572908,2662,4101,65,22103,1700,23803,239,287,467,62
2003,9,21496,38910,23109,1498073,2458,3968,62,23057,1730,24787,222,274,452,61
2003,10,23186,41788,24277,1692560,2628,4156,63,23049,1933,24982,236,289,478,61
2003,11,23189,41964,24537,1720051,2739,4202,65,22223,2028,24251,248,300,482,62
2003,12,24077,44292,25531,1940447,3124,4472,70,22957,2068,25025,281,333,513,65
2004,1,23963,44235,25478,1930692,3229,4503,72,21387,2031,23418,292,340,520,65
2004,2,23112,42085,24550,1838947,2971,4259,70,22352,1955,24307,268,321,490,66
2004,3,24827,44932,26151,1748767,2885,4560,63,26864,2224,29088,260,323,525,62
2004,4,24375,44578,26015,1832242,2916,4497,65,25133,2093,27226,262,321,519,62
2004,5,25664,47086,27294,2091825,3253,4712,69,26001,2171,28172,292,353,540,66
2004,6,24911,45833,26769,2049131,3342,4684,71,26119,2198,28317,299,360,534,67
2004,7,25463,46908,27210,1945126,3329,4834,69,27048,2344,29392,299,363,553,66
2004,8,25803,47424,27506,1957707,3327,4880,68,29593,2553,32146,298,365,557,65
2004,9,25299,46718,27408,1864867,3045,4824,63,28463,2250,30713,273,339,550,62
2004,10,26518,49224,28413,2043698,3233,5035,64,30052,2360,32412,289,361,574,63
2004,11,26032,47913,27886,2215331,3465,4842,72,26899,2318,29217,310,376,559,67
2004,12,26849,51032,29381,2406133,3894,5320,73,28477,2727,31204,349,418,613,68
2005,1,26729,50557,29143,2271321,3814,5278,72,24994,2536,27530,343,399,608,66
2005,2,24351,45778,26667,2013837,3227,4728,68,24858,2626,27484,291,352,546,65
2005,3,27011,51031,29423,2080046,3459,5282,66,30524,2972,33496,311,389,607,64
2005,4,26518,50231,29391,2147693,3527,5226,68,26433,2855,29288,316,383,601,64
2005,5,27583,52758,30530,2469728,4095,5513,74,27695,2872,30567,366,437,641,68
2005,6,27471,53596,31600,2430158,4250,5707,75,26360,2763,29123,381,449,672,67
2005,7,27871,54336,31688,2323153,4025,5677,71,24978,2748,27726,362,422,660,64
2005,8,29437,56756,33223,2367722,3969,5988,66,26837,3008,29845,358,422,691,61
2005,9,29387,59325,34595,2357126,4161,6534,64,29957,2719,32676,374,454,704,65
2005,10,31028,60419,34706,2613390,4152,6399,65,30969,2863,33832,373,450,737,61
2005,11,32275,60854,35850,2742535,4274,6556,65,27744,2585,30329,384,458,758,60
2005,12,34201,65992,37819,3079369,4842,6904,70,30066,2940,33006,433,510,785,65
2006,1,34661,67559,38794,3081633,5009,7123,70,26216,2745,28961,453,517,807,64
2006,2,32890,63175,36172,2974809,4494,6560,69,26777,2514,29291,402,470,741,63
2006,3,36033,67857,40148,3164857,4767,7342,65,31122,2894,34016,426,506,834,61
2006,4,35757,67275,39821,3279625,4906,7240,68,28276,2401,30677,441,515,812,63
2006,5,37343,70944,41001,3543408,5185,7549,69,28610,2025,30635,461,535,845,63
2006,6,36110,68761,40216,3345987,5134,7227,71,28083,2302,30385,457,527,795,66
2006,7,37531,71372,41341,3182525,5094,7494,68,29291,2561,31852,456,529,833,64
2006,8,37582,72267,41835,3258487,5165,7551,68,30456,2297,32753,462,535,859,62
2006,9,38029,72050,42360,3256416,4897,7550,65,31815,1467,33282,438,512,863,59
2006,10,41054,77549,45440,3447445,4949,7867,63,30633,1404,32037,442,518,894,58
2006,11,41672,78941,46264,3573329,5055,7769,65,31330,1664,32994,452,525,856,61
2006,12,44445,83808,48946,4259794,6111,8360,73,32925,1638,34563,545,623,942,66
2007,1,43956,85619,49622,4175736,6070,8413,72,29642,1598,31240,545,614,946,65
2007,2,42001,80219,46185,3939331,5492,7732,71,29354,1505,30859,492,561,873,64
2007,3,46730,88275,51102,4091890,5816,8577,68,37228,1610,38838,522,614,965,64
2009,4,49317,99612,57101,4128401,6513,9818,66,33821,2315,36136,584,681,1176,58
2009,5,51990,104530,60085,4782297,7348,10347,71,34100,2373,36473,662,762,1234,62
2009,6,50084,106180,58372,4547451,7046,10116,70,35185,2134,37319,630,733,1209,61
2009,7,51319,104128,60481,4555504,7438,10558,71,38370,2370,40740,674,786,1261,62
2009,8,51841,105810,61093,4628220,7577,10612,71,42598,3161,45759,685,804,1274,63
